Table,Year,Data_item,Region,State,Value,Units
Milk cows,1974,"Milk cows, average inventory",West Coast,Oregon,91.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",West Coast,Washington,181.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",West Coast,Total region,1069.00,Thousand head
Milk cows,1974,"Milk cows, average inventory",Other States,Alaska,1.70,Thousand head
Milk cows,1974,"Milk cows, average inventory",Other States,Hawaii,12.90,Thousand head
Milk cows,1974,"Milk cows, average inventory",Other States,Total region,14.60,Thousand head
Milk cows,1974,"Milk cows, average inventory",United States,Total region,11230.00,Thousand head
Milk cows,1975,"Milk cows, average inventory",Northeast,Connecticut,54.00,Thousand head
Milk cows,1975,"Milk cows, average inventory",Northeast,Delaware,11.70,Thousand head
Milk cows,1975,"Milk cows, average inventory",Northeast,Maine,61.00,Thousand head
Milk cows,1975,"Milk cows, average inventory",Northeast,Maryland,141.00,Thousand head
Milk cows,1975,"Milk cows, average inventory",Northeast,Massachusetts,55.00,Thousand head
Milk cows,1975,"Milk cows, average inventory",Northeast,New Hampshire,33.00,Thousand head
Milk cows,1975,"Milk cows, average inventory",Northeast,New Jersey,47.00,Thousand head
Milk cows,1975,"Milk cows, average inventory",Northeast,New York,917.00,Thousand head
Milk cows,1975,"Milk cows, average inventory",Northeast,Pennsylvania,699.00,Thousand head
Milk cows,1975,"Milk cows, average inventory",Northeast,Rhode Island,6.00,Thousand head
Milk cows,1975,"Milk cows, average inventory",Northeast,Vermont,193.00,Thousand head
Milk cows,1975,"Milk cows, average inventory",Northeast,Total region,2217.70,Thousand head
Milk cows,1975,"Milk cows, average inventory",Lake States,Michigan,411.00,Thousand head
Milk cows,1975,"Milk cows, average inventory",Lake States,Minnesota,884.00,Thousand head
Milk cows,1975,"Milk cows, average inventory",Lake States,Wisconsin,1812.00,Thousand head
Milk cows,1975,"Milk cows, average inventory",Lake States,Total region,3107.00,Thousand head
Milk cows,1975,"Milk cows, average inventory",Corn Belt,Illinois,243.00,Thousand head
Milk cows,1975,"Milk cows, average inventory",Corn Belt,Indiana,215.00,Thousand head
Milk cows,1975,"Milk cows, average inventory",Corn Belt,Iowa,401.00,Thousand head
